Team1_x,Opponent_x,Win_x,Draw_x,Lose_x,WinX_x,LoseX_x,GoalX_x,ShootX_x,ShootTX_x,FoulX_x,CornerX_x,YellowX_x,RedX_x,WinX_y,LoseX_y,GoalX_y,ShootX_y,ShootTX_y,FoulX_y,CornerX_y,YellowX_y,RedX_y,HomeTeam,AwayTeam,HisWin,HisLose,HomeRank,AwayRank
Arsenal,Stoke,1,0,0,2.0,0.0,3.0,61.0,21.0,22.0,22.0,3.0,0.0,0.0,1.0,3.0,35.0,13.0,20.0,9.0,4.0,2.0,Arsenal,Stoke,1,0,75,54
Arsenal,Man United,1,0,0,2.0,1.0,7.0,64.0,26.0,29.0,23.0,3.0,2.0,3.0,0.0,9.0,31.0,13.0,31.0,14.0,1.0,0.0,Arsenal,Man United,0,0,75,70
Arsenal,Everton,1,0,0,3.0,0.0,11.0,55.0,23.0,32.0,17.0,3.0,0.0,1.0,1.0,4.0,38.0,11.0,30.0,14.0,8.0,0.0,Arsenal,Everton,1,0,75,47
Arsenal,Tottenham,0,1,0,3.0,0.0,8.0,52.0,16.0,30.0,20.0,3.0,0.0,2.0,0.0,8.0,44.0,19.0,36.0,17.0,2.0,0.0,Arsenal,Tottenham,0,0,75,64
Arsenal,Sunderland,1,0,0,0.0,1.0,3.0,33.0,10.0,28.0,18.0,3.0,0.0,2.0,1.0,3.0,39.0,12.0,18.0,21.0,4.0,0.0,Arsenal,Sunderland,0,0,75,38
Arsenal,Man City,1,0,0,2.0,0.0,6.0,36.0,14.0,20.0,14.0,2.0,0.0,2.0,1.0,5.0,40.0,18.0,37.0,17.0,6.0,0.0,Arsenal,Man City,0,1,75,79
Arsenal,Newcastle,1,0,0,2.0,1.0,4.0,28.0,15.0,21.0,17.0,2.0,0.0,0.0,2.0,1.0,25.0,7.0,38.0,10.0,3.0,0.0,Arsenal,Newcastle,1,0,75,39
Arsenal,Chelsea,0,0,1,1.0,0.0,4.0,38.0,11.0,27.0,16.0,2.0,0.0,1.0,0.0,8.0,38.0,13.0,40.0,20.0,4.0,0.0,Arsenal,Chelsea,0,0,75,87
Arsenal,Southampton,0,1,0,0.0,1.0,3.0,31.0,9.0,31.0,15.0,1.0,1.0,3.0,0.0,6.0,31.0,14.0,27.0,13.0,1.0,0.0,Arsenal,Southampton,0,0,75,60
Arsenal,Leicester,1,0,0,1.0,1.0,2.0,40.0,17.0,33.0,22.0,4.0,1.0,3.0,0.0,8.0,42.0,18.0,31.0,15.0,2.0,0.0,Arsenal,Leicester,1,0,75,41
Arsenal,Swansea,0,0,1,2.0,1.0,6.0,47.0,16.0,32.0,17.0,8.0,0.0,0.0,2.0,2.0,42.0,9.0,35.0,21.0,4.0,0.0,Arsenal,Swansea,0,0,75,56
Arsenal,Crystal Palace,0,1,0,2.0,0.0,9.0,41.0,21.0,25.0,17.0,1.0,0.0,1.0,0.0,3.0,43.0,17.0,39.0,25.0,4.0,0.0,Arsenal,Crystal Palace,0,0,75,48
Arsenal,West Brom,1,0,0,1.0,0.0,8.0,51.0,24.0,22.0,22.0,1.0,0.0,0.0,2.0,1.0,32.0,6.0,31.0,20.0,2.0,0.0,Arsenal,West Brom,1,0,75,44
Arsenal,Aston Villa,1,0,0,1.0,0.0,3.0,39.0,12.0,26.0,16.0,6.0,0.0,0.0,2.0,4.0,25.0,9.0,26.0,10.0,6.0,1.0,Arsenal,Aston Villa,1,0,75,38
Aston Villa,Sunderland,0,1,0,1.0,2.0,2.0,23.0,6.0,42.0,10.0,9.0,0.0,0.0,2.0,4.0,26.0,9.0,40.0,12.0,9.0,0.0,Aston Villa,Sunderland,0,0,38,38
Aston Villa,West Brom,0,0,1,0.0,2.0,5.0,43.0,12.0,38.0,14.0,6.0,0.0,1.0,1.0,3.0,38.0,12.0,23.0,17.0,7.0,0.0,Aston Villa,West Brom,1,0,38,44
Aston Villa,Stoke,0,0,1,0.0,3.0,4.0,34.0,11.0,36.0,8.0,3.0,0.0,1.0,1.0,4.0,28.0,13.0,33.0,7.0,3.0,0.0,Aston Villa,Stoke,0,0,38,54
Aston Villa,Swansea,0,0,1,0.0,3.0,2.0,31.0,7.0,42.0,14.0,4.0,0.0,0.0,2.0,3.0,36.0,8.0,28.0,9.0,4.0,0.0,Aston Villa,Swansea,0,0,38,56
Aston Villa,Man City,0,1,0,0.0,3.0,2.0,30.0,6.0,42.0,11.0,8.0,0.0,2.0,0.0,7.0,42.0,17.0,28.0,17.0,6.0,0.0,Aston Villa,Man City,0,0,38,79
Aston Villa,Arsenal,0,0,1,0.0,2.0,3.0,31.0,11.0,24.0,17.0,4.0,0.0,1.0,1.0,5.0,39.0,13.0,23.0,14.0,4.0,0.0,Aston Villa,Arsenal,0,1,38,75
Aston Villa,West Ham,0,1,0,0.0,1.0,2.0,37.0,11.0,31.0,16.0,5.0,0.0,0.0,0.0,0.0,42.0,13.0,29.0,22.0,2.0,0.0,Aston Villa,West Ham,1,0,38,47
Aston Villa,Crystal Palace,1,0,0,0.0,2.0,2.0,19.0,14.0,48.0,19.0,12.0,0.0,0.0,1.0,0.0,26.0,6.0,36.0,21.0,6.0,0.0,Aston Villa,Crystal Palace,0,0,38,48
Aston Villa,Leicester,0,1,0,1.0,2.0,2.0,27.0,9.0,49.0,19.0,11.0,0.0,1.0,0.0,1.0,37.0,8.0,30.0,16.0,2.0,0.0,Aston Villa,Leicester,0,0,38,41
Aston Villa,Liverpool,0,0,1,1.0,1.0,2.0,31.0,9.0,34.0,13.0,1.0,1.0,1.0,1.0,7.0,43.0,14.0,25.0,22.0,3.0,0.0,Aston Villa,Liverpool,0,1,38,62
Aston Villa,Everton,0,0,1,1.0,2.0,3.0,21.0,5.0,35.0,2.0,6.0,0.0,2.0,1.0,6.0,66.0,19.0,25.0,21.0,2.0,0.0,Aston Villa,Everton,1,0,38,47
Aston Villa,Tottenham,0,0,1,0.0,3.0,2.0,21.0,7.0,33.0,10.0,7.0,0.0,1.0,1.0,4.0,69.0,27.0,31.0,19.0,7.0,0.0,Aston Villa,Tottenham,1,0,38,64
Aston Villa,Chelsea,0,0,1,0.0,3.0,0.0,25.0,5.0,26.0,12.0,3.0,0.0,1.0,0.0,5.0,52.0,14.0,27.0,22.0,6.0,0.0,Aston Villa,Chelsea,0,1,38,87
Aston Villa,Southampton,0,0,1,0.0,3.0,1.0,28.0,6.0,35.0,13.0,7.0,1.0,1.0,1.0,4.0,48.0,12.0,35.0,29.0,3.0,0.0,Aston Villa,Southampton,1,0,38,60
Aston Villa,Newcastle,0,1,0,0.0,3.0,4.0,30.0,10.0,28.0,13.0,6.0,1.0,1.0,0.0,4.0,21.0,10.0,41.0,13.0,6.0,0.0,Aston Villa,Newcastle,0,0,38,39
Chelsea,Crystal Palace,0,0,1,1.0,1.0,5.0,36.0,11.0,40.0,12.0,4.0,2.0,2.0,1.0,6.0,38.0,17.0,46.0,16.0,4.0,0.0,Chelsea,Crystal Palace,1,0,87,48
Chelsea,Arsenal,1,0,0,1.0,2.0,5.0,56.0,16.0,33.0,28.0,4.0,1.0,2.0,0.0,3.0,70.0,26.0,16.0,29.0,3.0,0.0,Chelsea,Arsenal,1,0,87,75
Chelsea,Southampton,0,0,1,1.0,1.0,5.0,53.0,13.0,39.0,25.0,7.0,0.0,1.0,1.0,5.0,47.0,19.0,29.0,14.0,5.0,0.0,Chelsea,Southampton,0,0,87,60
Chelsea,Aston Villa,1,0,0,1.0,1.0,5.0,48.0,14.0,41.0,15.0,7.0,0.0,0.0,3.0,2.0,36.0,9.0,35.0,12.0,3.0,0.0,Chelsea,Aston Villa,1,0,87,38
Chelsea,Liverpool,0,0,1,1.0,2.0,4.0,27.0,10.0,48.0,12.0,8.0,1.0,0.0,0.0,2.0,40.0,9.0,38.0,27.0,6.0,0.0,Chelsea,Liverpool,0,0,87,62
Chelsea,Sunderland,1,0,0,0.0,2.0,1.0,35.0,12.0,27.0,23.0,4.0,0.0,1.0,2.0,3.0,43.0,11.0,21.0,19.0,2.0,0.0,Chelsea,Sunderland,0,0,87,38
Chelsea,West Brom,0,1,0,1.0,0.0,5.0,35.0,9.0,28.0,19.0,3.0,0.0,2.0,1.0,3.0,47.0,13.0,27.0,29.0,4.0,0.0,Chelsea,West Brom,1,0,87,44
Chelsea,Everton,0,1,0,1.0,0.0,5.0,32.0,9.0,34.0,17.0,5.0,0.0,0.0,1.0,4.0,34.0,8.0,24.0,15.0,4.0,0.0,Chelsea,Everton,0,0,87,47
Chelsea,Man United,0,1,0,1.0,0.0,4.0,38.0,17.0,38.0,20.0,5.0,0.0,2.0,1.0,4.0,30.0,7.0,42.0,10.0,4.0,0.0,Chelsea,Man United,1,0,87,70
Chelsea,Newcastle,1,0,0,1.0,0.0,2.0,40.0,15.0,32.0,24.0,4.0,0.0,1.0,2.0,2.0,37.0,12.0,39.0,18.0,3.0,1.0,Chelsea,Newcastle,1,0,87,39
Chelsea,Stoke,0,1,0,3.0,0.0,9.0,41.0,11.0,32.0,20.0,3.0,1.0,3.0,0.0,6.0,31.0,11.0,36.0,18.0,3.0,0.0,Chelsea,Stoke,0,0,87,54
Chelsea,West Ham,0,1,0,2.0,0.0,5.0,46.0,13.0,25.0,20.0,4.0,0.0,3.0,0.0,5.0,40.0,11.0,34.0,17.0,4.0,0.0,Chelsea,West Ham,1,0,87,47
Chelsea,Man City,0,0,1,1.0,1.0,6.0,41.0,15.0,34.0,21.0,8.0,0.0,2.0,1.0,6.0,54.0,13.0,27.0,23.0,2.0,0.0,Chelsea,Man City,0,0,87,79
Chelsea,Tottenham,0,1,0,1.0,2.0,4.0,35.0,10.0,29.0,27.0,6.0,1.0,2.0,0.0,8.0,58.0,16.0,30.0,14.0,3.0,0.0,Chelsea,Tottenham,1,0,87,64
Chelsea,Leicester,0,1,0,0.0,1.0,5.0,35.0,20.0,30.0,13.0,5.0,1.0,2.0,0.0,8.0,64.0,20.0,29.0,21.0,1.0,1.0,Chelsea,Leicester,0,0,87,41
Crystal Palace,Man City,0,0,1,2.0,1.0,5.0,40.0,16.0,41.0,19.0,5.0,0.0,3.0,0.0,7.0,52.0,22.0,35.0,21.0,8.0,0.0,Crystal Palace,Man City,1,0,48,79
Crystal Palace,West Brom,1,0,0,1.0,2.0,1.0,38.0,9.0,46.0,13.0,8.0,0.0,1.0,1.0,3.0,28.0,11.0,25.0,17.0,4.0,0.0,Crystal Palace,West Brom,0,1,48,44
Crystal Palace,West Ham,0,0,1,2.0,1.0,3.0,49.0,15.0,47.0,17.0,9.0,0.0,1.0,0.0,6.0,45.0,16.0,25.0,18.0,6.0,0.0,Crystal Palace,West Ham,0,1,48,47
Crystal Palace,Man United,0,1,0,1.0,2.0,3.0,36.0,13.0,34.0,11.0,5.0,1.0,1.0,1.0,3.0,25.0,13.0,48.0,15.0,7.0,0.0,Crystal Palace,Man United,0,1,48,70
Crystal Palace,Sunderland,0,0,1,1.0,1.0,2.0,28.0,13.0,29.0,15.0,6.0,0.0,1.0,2.0,5.0,35.0,15.0,20.0,12.0,3.0,0.0,Crystal Palace,Sunderland,0,1,48,38
Crystal Palace,Newcastle,1,0,0,1.0,1.0,2.0,38.0,16.0,36.0,24.0,6.0,0.0,1.0,1.0,1.0,26.0,8.0,26.0,15.0,7.0,0.0,Crystal Palace,Newcastle,0,1,48,39
Crystal Palace,Southampton,1,0,0,1.0,1.0,6.0,52.0,20.0,36.0,24.0,4.0,0.0,0.0,2.0,2.0,51.0,14.0,23.0,21.0,4.0,0.0,Crystal Palace,Southampton,0,1,48,60
Crystal Palace,Swansea,0,1,0,2.0,0.0,3.0,32.0,8.0,36.0,20.0,0.0,0.0,1.0,1.0,2.0,41.0,11.0,31.0,13.0,2.0,0.0,Crystal Palace,Swansea,0,0,48,56
Crystal Palace,Chelsea,0,0,1,1.0,0.0,2.0,30.0,5.0,36.0,19.0,3.0,0.0,1.0,0.0,5.0,42.0,12.0,25.0,14.0,4.0,0.0,Crystal Palace,Chelsea,0,1,48,87
Crystal Palace,Tottenham,0,0,1,0.0,3.0,0.0,26.0,8.0,32.0,11.0,6.0,0.0,1.0,1.0,5.0,66.0,20.0,32.0,31.0,3.0,0.0,Crystal Palace,Tottenham,0,0,48,64
Crystal Palace,Liverpool,0,0,1,0.0,2.0,5.0,42.0,14.0,41.0,19.0,3.0,0.0,2.0,0.0,11.0,38.0,21.0,27.0,16.0,2.0,0.0,Crystal Palace,Liverpool,0,0,48,62
Crystal Palace,Leicester,0,0,1,0.0,2.0,5.0,42.0,11.0,42.0,17.0,4.0,0.0,2.0,0.0,4.0,46.0,13.0,25.0,27.0,2.0,0.0,Crystal Palace,Leicester,0,0,48,41
Crystal Palace,Everton,0,1,0,1.0,1.0,3.0,37.0,15.0,41.0,25.0,5.0,0.0,0.0,2.0,1.0,27.0,10.0,23.0,18.0,1.0,0.0,Crystal Palace,Everton,0,1,48,47
Crystal Palace,Stoke,1,0,0,0.0,2.0,1.0,21.0,5.0,32.0,15.0,4.0,0.0,0.0,2.0,1.0,37.0,7.0,33.0,11.0,4.0,0.0,Crystal Palace,Stoke,0,0,48,54
Everton,Chelsea,1,0,0,1.0,1.0,3.0,28.0,8.0,24.0,19.0,3.0,0.0,1.0,2.0,4.0,51.0,17.0,34.0,15.0,4.0,1.0,Everton,Chelsea,0,1,47,87
Everton,Liverpool,0,1,0,2.0,0.0,6.0,43.0,15.0,31.0,15.0,7.0,1.0,1.0,1.0,5.0,52.0,23.0,23.0,21.0,3.0,0.0,Everton,Liverpool,0,0,47,62
Everton,Man United,0,0,1,1.0,0.0,4.0,43.0,10.0,29.0,13.0,8.0,1.0,2.0,1.0,6.0,31.0,15.0,42.0,16.0,3.0,0.0,Everton,Man United,1,0,47,70
Everton,Sunderland,1,0,0,0.0,2.0,2.0,36.0,12.0,36.0,15.0,5.0,1.0,1.0,1.0,5.0,30.0,8.0,39.0,7.0,4.0,1.0,Everton,Sunderland,0,0,47,38
Everton,Aston Villa,1,0,0,1.0,1.0,8.0,38.0,17.0,32.0,16.0,5.0,1.0,0.0,2.0,2.0,25.0,5.0,32.0,10.0,6.0,0.0,Everton,Aston Villa,1,0,47,38
Everton,Crystal Palace,0,1,0,1.0,0.0,8.0,40.0,19.0,24.0,12.0,2.0,0.0,2.0,1.0,7.0,47.0,19.0,31.0,24.0,4.0,0.0,Everton,Crystal Palace,0,0,47,48
Everton,Leicester,0,0,1,0.0,0.0,5.0,45.0,13.0,16.0,22.0,1.0,0.0,2.0,0.0,6.0,32.0,13.0,40.0,10.0,5.0,0.0,Everton,Leicester,0,0,47,41
Everton,Stoke,0,0,1,1.0,1.0,4.0,48.0,15.0,24.0,21.0,4.0,0.0,1.0,1.0,3.0,51.0,11.0,28.0,15.0,5.0,0.0,Everton,Stoke,0,1,47,54
Everton,Tottenham,0,1,0,1.0,2.0,6.0,48.0,15.0,28.0,23.0,6.0,0.0,3.0,0.0,7.0,38.0,19.0,26.0,19.0,4.0,0.0,Everton,Tottenham,0,1,47,64
Everton,Swansea,0,0,1,0.0,0.0,4.0,28.0,9.0,19.0,13.0,3.0,0.0,1.0,2.0,4.0,29.0,11.0,27.0,16.0,5.0,1.0,Everton,Swansea,0,0,47,56
Everton,Newcastle,1,0,0,0.0,1.0,4.0,36.0,8.0,16.0,16.0,2.0,0.0,1.0,1.0,6.0,48.0,18.0,31.0,15.0,3.0,0.0,Everton,Newcastle,1,0,47,39
Everton,West Brom,0,0,1,2.0,1.0,7.0,52.0,15.0,21.0,14.0,1.0,0.0,0.0,1.0,1.0,28.0,7.0,31.0,13.0,3.0,0.0,Everton,West Brom,0,0,47,44
Everton,West Ham,0,0,1,2.0,1.0,6.0,58.0,19.0,24.0,26.0,2.0,0.0,2.0,0.0,4.0,34.0,12.0,32.0,14.0,3.0,0.0,Everton,West Ham,1,0,47,47
Everton,Arsenal,0,0,1,1.0,2.0,5.0,59.0,21.0,28.0,31.0,4.0,1.0,0.0,2.0,5.0,41.0,13.0,33.0,12.0,5.0,1.0,Everton,Arsenal,1,0,47,75
Everton,Southampton,0,1,0,0.0,1.0,1.0,28.0,13.0,25.0,18.0,2.0,1.0,2.0,1.0,6.0,46.0,13.0,31.0,22.0,3.0,0.0,Everton,Southampton,1,0,47,60
Leicester,Aston Villa,1,0,0,1.0,0.0,4.0,28.0,10.0,38.0,10.0,8.0,0.0,0.0,2.0,3.0,37.0,9.0,39.0,12.0,7.0,0.0,Leicester,Aston Villa,1,0,41,38
Leicester,Arsenal,0,0,1,1.0,0.0,6.0,37.0,13.0,39.0,12.0,10.0,0.0,2.0,1.0,3.0,60.0,23.0,25.0,27.0,3.0,2.0,Leicester,Arsenal,0,0,41,75
Leicester,Crystal Palace,1,0,0,1.0,1.0,6.0,58.0,19.0,23.0,21.0,2.0,0.0,2.0,1.0,4.0,43.0,12.0,45.0,13.0,8.0,1.0,Leicester,Crystal Palace,0,0,41,48
Leicester,Man United,0,1,0,3.0,0.0,8.0,43.0,18.0,33.0,17.0,3.0,0.0,2.0,0.0,4.0,31.0,10.0,38.0,18.0,6.0,0.0,Leicester,Man United,0,1,41,70
Leicester,Chelsea,1,0,0,2.0,0.0,7.0,41.0,15.0,36.0,18.0,4.0,0.0,1.0,1.0,1.0,45.0,14.0,23.0,21.0,5.0,0.0,Leicester,Chelsea,1,0,41,87
Leicester,Man City,0,1,0,2.0,1.0,5.0,26.0,13.0,38.0,9.0,4.0,0.0,2.0,1.0,7.0,52.0,20.0,39.0,18.0,6.0,0.0,Leicester,Man City,0,1,41,79
Leicester,Stoke,1,0,0,1.0,0.0,2.0,38.0,9.0,34.0,19.0,3.0,0.0,1.0,1.0,4.0,38.0,13.0,36.0,19.0,1.0,1.0,Leicester,Stoke,0,0,41,54
Leicester,Liverpool,1,0,0,2.0,0.0,5.0,37.0,12.0,35.0,20.0,2.0,0.0,1.0,1.0,8.0,54.0,17.0,29.0,17.0,3.0,0.0,Leicester,Liverpool,0,0,41,62
Leicester,West Brom,0,1,0,2.0,1.0,5.0,34.0,13.0,34.0,8.0,5.0,1.0,2.0,1.0,4.0,23.0,6.0,38.0,8.0,8.0,0.0,Leicester,West Brom,0,0,41,44
